IATA,IACO,name,city,province,state,country,wiki,lat,lng
WLS,NLWW,Wallis Island,Wallis and Futuna Islands,,,,http://en.wikipedia.org/wiki/Wallis_Island#,-13.2383,-176.1989
LAZ,SBLP,Bom Jesus da Lapa Airport,Bom Jesus da Lapa,, Bahia, Brazil,http://en.wikipedia.org/wiki/Bom_Jesus_da_Lapa_Airport#,-13.2611,-43.4072
MFU,FLMF,Mfuwe Airport,Mfuwe,, Eastern Province, Zambia,http://en.wikipedia.org/wiki/Mfuwe_Airport#,-13.2667,31.9333
VXC,FQLC,Lichinga Airport,Lichinga,,, Mozambique,http://en.wikipedia.org/wiki/Lichinga_Airport#,-13.2833,35.25
MFF,FOOD,Moanda Airport,Moanda,,, Gabon,http://en.wikipedia.org/wiki/Moanda_Airport#,-13.3333,13.2667
AUU,YAUR,Aurukun Airport,Aurukun,, Queensland, Australia,http://en.wikipedia.org/wiki/Aurukun_Airport#,-13.3539,141.7208
CUZ,SPZO,Alejandro Velasco Astete International Airport,Cusco,, Cusco Region, Peru,http://en.wikipedia.org/wiki/Alejandro_Velasco_Astete_International_Airport#,-13.5358,-71.9388
MQH,SBMC,Minaçu Airport,Minaçu,, Goiás, Brazil,http://en.wikipedia.org/wiki/Mina%C3%A7u_Airport#,-13.55,-48.2
CIP,FLCP,Chipata Airport,Chipata,,, Zambia,http://en.wikipedia.org/wiki/Chipata_Airport#,-13.5667,32.5911
MTV,NVSA,Mota Lava Airport,Mota Lava,,, Vanuatu,http://en.wikipedia.org/wiki/Mota_Lava_Airport#,-13.666,167.712
ANS,SPHY,Andahuaylas Airport,Andahuaylas,,, Peru,http://en.wikipedia.org/wiki/Andahuaylas_Airport#,-13.7042,-73.3481
PIO,SPSO,Capitán FAP Renán Elías Olivera Airport,Pisco,,, Peru,http://en.wikipedia.org/wiki/Capit%C3%A1n_FAP_Ren%C3%A1n_El%C3%ADas_Olivera_Airport#,-13.7448,-76.2204
CUQ,YCOE,Coen Airport,Coen,, Queensland, Australia,http://en.wikipedia.org/wiki/Coen_Airport#,-13.7625,143.1125
SBL,SLSA,Santa Ana del Yacuma Airport,Santa Ana del Yacuma,,, Bolivia,http://en.wikipedia.org/wiki/Santa_Ana_del_Yacuma_Airport#,-13.7625,-65.4347
LLW,FWKI,Lilongwe International Airport (Kumuzu Airport),Lilongwe,,, Malawi,http://en.wikipedia.org/wiki/Lilongwe_International_Airport#,-13.7834,33.7776
APW,NSFA,Faleolo International Airport,Apia,, Upolu Island, Samoa,http://en.wikipedia.org/wiki/Faleolo_International_Airport#,-13.8297,-171.9972
SLH,NVSC,Sola Airport,Sola, Vanua Lava, Torba Province, Vanuatu,http://en.wikipedia.org/wiki/Vanua_Lava_Airport#,-13.8517,167.5369
JEQ,SNJK,Jequié Airport,Jequié,, Bahia, Brazil,http://en.wikipedia.org/w/index.php?title=Jequi%C3%A9_Airport&action=edit&redlink=1#,-13.8767,-40.0714
GTE,YGTE,Groote Eylandt Airport,Groote Eylandt,, Northern Territory, Australia,http://en.wikipedia.org/wiki/Groote_Eylandt_Airport#,-13.975,136.46
IPU,SNIU,Ipiaú Airport,Ipiaú,, Bahia, Brazil,http://en.wikipedia.org/w/index.php?title=Ipia%C3%BA_Airport&action=edit&redlink=1#,-14.1333,-39.7333
GNM,SNGI,Guanambi Airport,Guanambi,, Bahia, Brazil,http://en.wikipedia.org/wiki/Guanambi_Airport#,-14.2064,-42.7506
ZGU,NVSQ,Gaua Airport,Gaua,, Torba, Vanuatu,http://en.wikipedia.org/wiki/Gaua_Airport#,-14.2181,167.5872
CMK,FWCM,Club Makokola Airport,Club Makokola,,, Malawi,http://en.wikipedia.org/wiki/Club_Makokola_Airport#,-14.3069,35.1325
FUT,NLWF,Pointe Vele Airport,Futuna Island,,, Wallis and Futuna Islands,http://en.wikipedia.org/wiki/Pointe_Vele_Airport#,-14.3114,-178.0661
PPG,NSTU,Pago Pago International Airport,Pago Pago,,, American Samoa,http://en.wikipedia.org/wiki/Pago_Pago_International_Airport#,-14.331,-170.7094
LXU,FLLK,Lukulu Airport,Lukulu,,, Zambia,http://en.wikipedia.org/wiki/Lukulu_Airport#,-14.3667,23.2583
RBQ,SLRQ,Rurrenabaque Airport,Rurrenabaque,,, Bolivia,http://en.wikipedia.org/wiki/Rurrenabaque_Airport#,-14.4275,-67.4981
AHE,NTHE,Ahe Airport,Ahe,,, French Polynesia,http://en.wikipedia.org/wiki/Ahe_Airport#,-14.4278,-146.255
XMH,NTGI,Manihi Airport,Manihi,,, French Polynesia,http://en.wikipedia.org/wiki/Manihi_Airport#,-14.4375,-146.0708
KTR,YPTN,Tindal Airport,Katherine,, Northern Territory, Australia,http://en.wikipedia.org/w/index.php?title=Tindal_Airport&action=edit&redlink=1#,-14.5217,132.3783
HVA,FMNL,Analalava Airport,Analalava,,, Madagascar,http://en.wikipedia.org/wiki/Analalava_Airport#,-14.6297,47.7638
ITN,SNHA,Itabuna Airport,Itabuna,, Bahia, Brazil,http://en.wikipedia.org/w/index.php?title=Itabuna_Airport&action=edit&redlink=1#,-14.8097,-39.2914
IOS,SBIL,Ilhéus Jorge Amado Airport,Ilhéus,, Bahia, Brazil,http://en.wikipedia.org/wiki/Ilh%C3%A9us_Jorge_Amado_Airport#,-14.815,-39.0333
TDD,SLTR,Teniente Jorge Henrich Arauz Airport,Trinidad,,, Bolivia,http://en.wikipedia.org/wiki/Teniente_Jorge_Henrich_Arauz_Airport#,-14.8183,-64.9133
VDC,SBQV,Vitória da Conquista Airport,Vitória da Conquista,,, Brazil,http://en.wikipedia.org/wiki/Vit%C3%B3ria_da_Conquista_Airport#,-14.8631,-40.8625
MVT,NTGV,Mataiva Airport,Mataiva,,, French Polynesia,http://en.wikipedia.org/wiki/Mataiva_Airport#,-14.8658,-148.7161
SRJ,SLSB,Capitán Germán Quiroga Guardia Airport,San Borja,,, Bolivia,http://en.wikipedia.org/wiki/Capit%C3%A1n_Germ%C3%A1n_Quiroga_Guardia_Airport#,-14.867,-66.75
EDR,YPMP,Edward River Airport,Edward River,, Queensland, Australia,http://en.wikipedia.org/wiki/Edward_River_Airport#,-14.8967,141.6094
SDD,FNUB,Lubango Airport,Lubango,,, Angola,http://en.wikipedia.org/wiki/Lubango_Airport#,-14.9243,13.5716
MWF,NVSN,Maewo-Naone Airport,Maewo,,, Vanuatu,http://en.wikipedia.org/wiki/Maewo-Naone_Airport#,-14.9972,168.0811
ANM,FMNH,Antsirabato Airport,Antalaha,,, Madagascar,http://en.wikipedia.org/wiki/Antsirabato_Airport#,-14.9994,50.3202
APL,FQNP,Nampula Airport,Nampula,,, Mozambique,http://en.wikipedia.org/wiki/Nampula_Airport#,-15.1,39.2833
MNR,FLMG,Mongu Airport,Mongu,, Western Province, Zambia,http://en.wikipedia.org/wiki/Mongu_Airport#,-15.225,23.1528
AXR,NTGU,Arutua Airport,Arutua,, Tuamotus, French Polynesia,http://en.wikipedia.org/wiki/Arutua_Airport#,-15.2464,-146.6203
MSZ,FNMO,Namibe Airport,Namibe,,, Angola,http://en.wikipedia.org/wiki/Namibe_Airport#,-15.2612,12.1468
LOD,NVSG,Longana Airport (Ambae Airport),Longana, Ambae Island, Pénama Province, Vanuatu,http://en.wikipedia.org/wiki/Longana_Airport#,-15.3067,167.9672
