IATA,IACO,name,city,province,state,country,wiki,lat,lng
YGZ,CYGZ,Grise Fiord Airport,Grise Fiord,, Nunavut, Canada,http://en.wikipedia.org/wiki/Grise_Fiord_Airport#,76.4261,-82.9092
YHT,CYHT,Haines Junction Airport,Haines Junction,, Yukon, Canada,http://en.wikipedia.org/wiki/Haines_Junction_Airport#,,
YHC,,Hakai Pass Airport,Hakai Pass,, British Columbia, Canada,http://en.wikipedia.org/w/index.php?title=Hakai_Pass_Airport&action=edit&redlink=1#,,
YHZ,CYHZ,Halifax Stanfield International Airport,Enfield,, Nova Scotia, Canada,http://en.wikipedia.org/wiki/Halifax_Stanfield_International_Airport#,44.8808,-63.5086
YUX,CYUX,Hall Beach Airport,Hall Beach,, Nunavut, Canada,http://en.wikipedia.org/wiki/Hall_Beach_Airport#,68.7761,-81.2436
YTB,,Hartley Bay Water Aerodrome (TC: CAY4),Hartley Bay,, British Columbia, Canada,http://en.wikipedia.org/wiki/Hartley_Bay_Water_Aerodrome#,,
YGV,CYGV,Havre Saint-Pierre Airport,Havre-Saint-Pierre,, Quebec, Canada,http://en.wikipedia.org/wiki/Havre_Saint-Pierre_Airport#,50.2819,-63.6114
YHY,CYHY,Hay River/Merlyn Carter Airport,Hay River,, Northwest Territories, Canada,http://en.wikipedia.org/wiki/Hay_River/Merlyn_Carter_Airport#,60.8397,-115.7764
YHF,CYHF,Hearst (René Fontaine) Municipal Airport,Hearst,, Ontario, Canada,http://en.wikipedia.org/wiki/Hearst_%28Ren%C3%A9_Fontaine%29_Municipal_Airport#,,
YOJ,CYOJ,High Level Airport,High Level,, Alberta, Canada,http://en.wikipedia.org/wiki/High_Level_Airport#,58.6214,-117.1647
ZHP,CZHP,High Prairie Airport,High Prairie,, Alberta, Canada,http://en.wikipedia.org/wiki/High_Prairie_Airport#,,
YJP,,Hinton/Jasper-Hinton Airport,Hinton,, Alberta, Canada,http://en.wikipedia.org/wiki/Hinton/Jasper-Hinton_Airport#,,
YHE,CYHE,Hope Aerodrome,Hope,, British Columbia, Canada,http://en.wikipedia.org/wiki/Hope_Aerodrome#,49.3667,-121.4833
YHO,CYHO,Hopedale Airport,Hopedale,, Labrador, Canada,http://en.wikipedia.org/wiki/Hopedale_Airport#,55.45,-60.233
YHN,CYHN,Hornepayne Municipal Airport,Hornepayne,, Ontario, Canada,http://en.wikipedia.org/wiki/Hornepayne_Municipal_Airport#,,
YHB,CYHB,Hudson Bay Airport,Hudson Bay,, Saskatchewan, Canada,http://en.wikipedia.org/wiki/Hudson_Bay_Airport#,,
YNH,CYNH,Hudson's Hope Airport,Hudson's Hope,, British Columbia, Canada,http://en.wikipedia.org/wiki/Hudson%27s_Hope_Airport#,56.0356,-121.9758
YGT,CYGT,Igloolik Airport,Igloolik,, Nunavut, Canada,http://en.wikipedia.org/wiki/Igloolik_Airport#,69.3647,-81.8161
ZUC,CZUC,Ignace Municipal Airport,Ignace,, Ontario, Canada,http://en.wikipedia.org/wiki/Ignace_Municipal_Airport#,,
YGR,CYGR,Îles-de-la-Madeleine Airport,Les Îles-de-la-Madeleine,, Quebec, Canada,http://en.wikipedia.org/wiki/%C3%8Eles-de-la-Madeleine_Airport#,47.4247,-61.7781
ILF,CZBD,Ilford Airport,Ilford,, Manitoba, Canada,http://en.wikipedia.org/wiki/Ilford_Airport#,56.0614,-95.6139
YPH,CYPH,Inukjuak Airport,Inukjuak,, Quebec, Canada,http://en.wikipedia.org/wiki/Inukjuak_Airport#,58.4717,-78.0772
YEV,CYEV,Inuvik (Mike Zubko) Airport,Inuvik,, Northwest Territories, Canada,http://en.wikipedia.org/wiki/Inuvik_%28Mike_Zubko%29_Airport#,68.3042,-133.4828
YFB,CYFB,Iqaluit Airport,Iqaluit,, Nunavut, Canada,http://en.wikipedia.org/wiki/Iqaluit_Airport#,63.7564,-68.5558
YIV,CYIV,Island Lake Airport,Island Lake,, Manitoba, Canada,http://en.wikipedia.org/wiki/Island_Lake_Airport#,53.8572,-94.6536
YIK,CYIK,Ivujivik Airport,Ivujivik,, Québec, Canada,http://en.wikipedia.org/wiki/Ivujivik_Airport#,62.4173,-77.9253
YJA,CYJA,Jasper Airport,Jasper,, Alberta, Canada,http://en.wikipedia.org/wiki/Jasper_Airport#,,
ZJG,CZJG,Jenpeg Airport,Jenpeg,, Manitoba, Canada,http://en.wikipedia.org/wiki/Jenpeg_Airport#,54.5194,-98.0464
YHM,CYHM,John C. Munro Hamilton International Airport,Hamilton,, Ontario, Canada,http://en.wikipedia.org/wiki/John_C._Munro_Hamilton_International_Airport#,43.1736,-79.935
YKA,CYKA,Kamloops Airport,Kamloops,, British Columbia, Canada,http://en.wikipedia.org/wiki/Kamloops_Airport#,50.7022,-120.4444
XGR,CYLU,Kangiqsualujjuaq (Georges River) Airport,Kangiqsualujjuaq,, Quebec, Canada,http://en.wikipedia.org/wiki/Kangiqsualujjuaq_%28Georges_River%29_Airport#,58.7117,-65.9933
